,,0
stats_goldSpent,stats_longestTimeSpentLiving,0.28605823671494424
stats_deaths,stats_totalDamageDealtToChampions,0.28343781884262864
stats_neutralMinionsKilledEnemyJungle,stats_physicalDamageDealt,0.28339441908819496
stats_perk3Var1,stats_totalDamageTaken,0.2830537704182945
stats_assists,stats_perk0Var1,0.2828165808516028
stats_physicalDamageDealt,stats_trueDamageDealtToChampions,0.28264160414831174
stats_statPerk1,stats_totalMinionsKilled,0.2823148178485688
stats_playerScore3,stats_playerScore5,0.28156668251450184
stats_perk3Var1,stats_physicalDamageDealtToChampions,0.2806935792131037
stats_assists,stats_damageSelfMitigated,0.2796378069385077
stats_perk3Var1,stats_physicalDamageTaken,0.27894742464794875
stats_goldEarned,stats_neutralMinionsKilled,0.278902897806361
stats_physicalDamageDealtToChampions,stats_tripleKills,0.27885973802190134
stats_damageSelfMitigated,stats_physicalDamageDealtToChampions,0.2787593727364566
stats_totalHeal,stats_trueDamageTaken,0.2785852266364102
stats_perk1Var1,stats_physicalDamageTaken,0.2766293864965964
stats_killingSprees,stats_totalHeal,0.27609768744904895
stats_perk3Var2,stats_perkPrimaryStyle,0.27607078215182856
stats_damageDealtToObjectives,stats_totalTimeCrowdControlDealt,0.27397218269041806
stats_magicalDamageTaken,stats_trueDamageDealtToChampions,0.27374397247633087
stats_perkPrimaryStyle,stats_timeCCingOthers,0.2736769758134794
stats_totalHeal,stats_totalTimeCrowdControlDealt,0.27353520937035664
stats_largestMultiKill,stats_totalDamageTaken,0.2721173090990264
stats_item5,stats_totalDamageDealtToChampions,0.27192211618116213
stats_totalDamageDealt,stats_trueDamageTaken,0.2718599432205446
stats_magicalDamageTaken,stats_perk1Var1,0.2716460228105883
stats_kills,stats_neutralMinionsKilled,0.27125200013485307
stats_largestKillingSpree,stats_totalMinionsKilled,0.2711635326408702
stats_killingSprees,stats_largestCriticalStrike,0.2707487829208748
stats_largestMultiKill,stats_physicalDamageTaken,0.26861937179217316
stats_neutralMinionsKilledEnemyJungle,stats_totalDamageDealtToChampions,0.26837239438481336
stats_neutralMinionsKilledEnemyJungle,stats_totalTimeCrowdControlDealt,0.2683061441493146
stats_magicDamageDealt,stats_totalDamageTaken,0.26816270719335106
stats_goldSpent,stats_inhibitorKills,0.2667716780382246
stats_goldSpent,stats_neutralMinionsKilled,0.26615280652167045
stats_assists,stats_perk0Var2,0.2661474074504046
stats_damageSelfMitigated,stats_physicalDamageDealt,0.26595771030624415
stats_magicDamageDealtToChampions,stats_magicalDamageTaken,0.2651040824120067
stats_inhibitorKills,stats_kills,0.26419458473283497
stats_perk3Var1,stats_physicalDamageDealt,0.2628947754441554
stats_damageDealtToObjectives,stats_trueDamageDealt,0.2627648167705065
stats_doubleKills,stats_largestCriticalStrike,0.2620040688375626
stats_physicalDamageDealt,stats_statPerk1,0.26148053822395867
stats_damageDealtToObjectives,stats_damageSelfMitigated,0.26139060615376275
stats_kills,stats_magicDamageDealtToChampions,0.2607152516185222
stats_largestCriticalStrike,stats_largestMultiKill,0.2604960234201426
stats_perk0Var2,stats_totalUnitsHealed,0.2603441689595188
stats_perk2,stats_totalMinionsKilled,0.26020909571251194
stats_damageSelfMitigated,stats_kills,0.25962841608879944
stats_goldSpent,stats_totalTimeCrowdControlDealt,0.25890255267017087
stats_inhibitorKills,stats_totalDamageDealt,0.2588906192500921
stats_perk1,stats_perk1Var2,0.2583000342243802
stats_goldEarned,stats_totalTimeCrowdControlDealt,0.2581221607345973
stats_champLevel,stats_neutralMinionsKilled,0.25786781167592654
stats_perk3,stats_timeCCingOthers,0.2568150894862646
stats_perkPrimaryStyle,stats_totalUnitsHealed,0.2563910251967769
stats_perk0Var3,stats_perk2,0.25632002798803727
stats_damageSelfMitigated,stats_neutralMinionsKilled,0.25533933558084654
stats_goldEarned,stats_perk2Var2,0.254747785602143
stats_largestCriticalStrike,stats_largestKillingSpree,0.253669888472858
stats_physicalDamageDealtToChampions,stats_trueDamageTaken,0.25361972166395524
stats_largestKillingSpree,stats_trueDamageDealtToChampions,0.25275681150782175
stats_deaths,stats_goldSpent,0.2524763553417102
stats_magicalDamageTaken,stats_perk0Var1,0.2522386510378293
stats_statPerk0,stats_wardsPlaced,0.25196357066440705
stats_item4,stats_totalDamageDealtToChampions,0.25189306186817556
stats_perk0Var1,stats_perk0Var3,0.2503090923668512
stats_doubleKills,stats_trueDamageDealtToChampions,0.250292092161876
stats_largestKillingSpree,stats_neutralMinionsKilled,0.25022282272259744
stats_champLevel,stats_wardsKilled,0.2501780636451088
stats_goldEarned,stats_statPerk1,0.2501758163150226
stats_statPerk1,stats_totalDamageDealtToChampions,0.24957061238647868
stats_killingSprees,stats_neutralMinionsKilled,0.24952611808283148
stats_magicDamageDealt,stats_totalHeal,0.24944706706457653
stats_magicDamageDealtToChampions,stats_totalDamageTaken,0.24936955296900265
stats_largestMultiKill,stats_trueDamageDealtToChampions,0.24899816836673438
stats_kills,stats_trueDamageTaken,0.24888443595714013
stats_neutralMinionsKilledEnemyJungle,stats_perk3Var1,0.24872971681473943
stats_perk0,stats_perk3Var1,0.24865139304273026
stats_goldEarned,stats_item3,0.24836862715001046
stats_perk0Var1,stats_totalDamageTaken,0.2483656432494561
stats_inhibitorKills,stats_totalDamageDealtToChampions,0.24722900806290113
stats_doubleKills,stats_totalMinionsKilled,0.24690305493481665
stats_magicDamageDealtToChampions,stats_totalDamageDealt,0.24675820495814652
stats_perk3,stats_wardsPlaced,0.2464460509994732
stats_perk0Var1,stats_visionScore,0.24642834970004981
stats_champLevel,stats_item3,0.24636369270612526
stats_assists,stats_goldEarned,0.24624247811314126
stats_doubleKills,stats_quadraKills,0.24614396154334206
stats_longestTimeSpentLiving,stats_totalDamageDealt,0.245297020198561
stats_goldSpent,stats_statPerk1,0.24514728131731706
stats_neutralMinionsKilled,stats_perk3Var1,0.2451440869530616
stats_goldSpent,stats_item3,0.24507938463727916
stats_largestKillingSpree,stats_totalHeal,0.24491447479466313
stats_magicalDamageTaken,stats_physicalDamageDealt,0.2447253445968233
stats_champLevel,stats_inhibitorKills,0.2437984985381561
stats_perk0Var1,stats_perk1Var1,0.24359197698790994
stats_magicDamageDealt,stats_physicalDamageTaken,0.24348983188734502
stats_goldSpent,stats_perk2Var2,0.2430866326893308
stats_inhibitorKills,stats_largestKillingSpree,0.24278787614320282
stats_damageSelfMitigated,stats_perk0Var1,0.24277241357851786
stats_perk0Var1,stats_statPerk0,0.24193671969452582
stats_perk0Var2,stats_wardsPlaced,0.24185277155324136
